track_id,track_name,artist,genre,release_year,danceability,energy,tempo,streams
127,Forever Forever,Hunter Crawford,Soul,2011,0.604,0.252,103,2223416
128,Forever Night,Jonathan Valenzuela,Alternative,2022,0.506,0.664,103,7285618
129,Light Heart,Christian Clark,Electronic,2006,0.838,0.926,140,3828466
130,Lonely Light,Timothy Baker,Rock,2016,0.571,0.676,148,4297308
131,Heart Dream,Gilbert Thompson,Alternative,2007,0.539,0.409,119,2869294
132,Sky Lonely,Evelyn Cummings,Hip-Hop,2021,0.785,0.778,146,3113387
133,Dream Fire,Angela Hutchinson,R&B,2003,0.942,0.548,108,1772445
134,Lonely Broken,Robert Johnson DVM,Pop,2018,1,0.51,128,5519270
135,Light Night,Michele Stone,Electronic,2011,0.757,0.822,135,1597583
136,Sky Broken,Yolanda Welch,Hip-Hop,2018,0.557,0.879,103,6103483
137,Love Sky,Mrs. Maria Brown,Hip-Hop,2007,0.865,0.741,142,1141615
138,Forever Broken,Jacob Le,Hip-Hop,2008,0.809,0.745,130,4311159
139,Love Forever,Daniel Chavez,Soul,2004,0.479,0.435,105,4756133
140,Sky Dream,Christopher Castro,R&B,2021,0.753,0.575,143,4169616
141,Lonely Night,James Smith,Soul,2013,0.507,0.426,105,4613505
142,Love Light,Luis Lester,Hip-Hop,2023,0.848,0.472,133,2829731
143,Love Shadow,Teresa Moyer PhD,Pop,2000,0.384,0.631,71,3677813
144,Paradise Light,Andrew Singh,Rock,2011,0.577,0.696,96,2636127
145,Night Heart,Kelly Rhodes,Pop,2006,0.688,0.728,89,1225058
146,Broken Heart,Nancy Huang MD,Hip-Hop,2004,0.67,0.466,158,3873650
147,Lonely Broken,Danielle Ellis,Alternative,2021,0.637,0.39,127,2288663
148,Shadow Dream,Sharon Scott,Hip-Hop,2013,0.821,0.488,136,1630028
149,Sky Dream,William Barajas,Soul,2001,0.585,0.588,80,1827717
150,Paradise Night,Erin Rice,R&B,2009,0.698,0.808,94,4783521
151,Fire Sky,Jennifer Wilkinson,Soul,2023,0.476,0.309,142,1866171
152,Dream Love,Alexander Hood,Hip-Hop,2020,0.784,0.528,135,1148007
153,Light Shadow,Beverly Mercer,Rock,2019,0.605,0.778,129,1109540
154,Fire Broken,Richard Gilbert,Alternative,2001,0.776,0.46,88,1292450
155,Broken Shadow,Jacqueline Dickson,Soul,2019,0.311,0.207,86,2344701
156,Shadow Light,Leah Gates,Alternative,2016,0.855,0.561,122,10427499
157,Dream Lonely,Pamela Watkins,Soul,2012,0.424,0.51,77,6013070
158,Broken Love,Jeffrey Owens,R&B,2003,0.454,0.626,96,9336510
159,Heart Love,Anna Clark,Hip-Hop,2000,0.669,0.766,133,5110237
160,Broken Love,John Shah,Electronic,2007,0.659,0.85,125,3486721
161,Forever Heart,Denise Turner,R&B,2019,0.816,0.506,99,2988786
162,Night Forever,Steven Harris,Rock,2011,0.38,0.655,119,1716993
163,Night Heart,Cynthia Gonzalez,Alternative,2004,0.641,0.163,95,1539343
164,Light Heart,Katrina Macias MD,Hip-Hop,2009,0.783,0.573,98,1354499
165,Shadow Forever,Jacob Taylor,Rock,2017,0.53,0.688,97,4710621
166,Forever Forever,Rachel Harris,Rock,2020,0.433,0.878,112,3396881
167,Night Fire,Thomas Crawford,Hip-Hop,2022,0.635,0.592,119,4936243
168,Dream Shadow,Mary Barnes,R&B,2002,1,0.607,95,2454345
169,Sky Love,Denise Harris,R&B,2020,0.675,0.486,99,2567268
170,Broken Forever,Andrew Smith,Soul,2002,0.686,0.372,80,5007871
171,Sky Sky,Christy Vasquez,Rock,2008,0.641,0.86,133,5860278
172,Night Sky,Tonya Vaughn,Alternative,2012,0.565,0.155,133,1779032
173,Heart Night,Shawn Brown,Alternative,2013,0.264,0.226,106,3755690
174,Night Lonely,Richard Wilson,Pop,2006,0.55,0.516,96,2275496
175,Fire Paradise,Parker Gallagher,Electronic,2015,0.869,0.69,132,7510107
176,Dream Light,Amy Valenzuela,Electronic,2021,0.815,0.807,121,6752657
177,Night Paradise,Nicholas Wheeler,Electronic,2007,0.703,0.754,127,3709384
178,Paradise Light,Patrick Andrade,Hip-Hop,2002,0.603,0.716,126,5004267
179,Light Heart,Brian Moore,Electronic,2020,0.797,0.9,124,6352184
180,Light Paradise,Paul Evans,Hip-Hop,2021,0.695,0.82,97,4076667
181,Paradise Night,Angela Madden,Rock,2010,0.7,0.892,126,3788932
182,Broken Light,Stephanie Burton,Pop,2013,0.476,0.249,49,4710030
183,Paradise Broken,Ashley Dyer,Hip-Hop,2021,0.663,0.242,117,4724651
184,Forever Heart,Cathy Morris,Alternative,2003,0.658,0.442,125,5487106
185,Shadow Night,Nicole Hill,Soul,2004,0.354,0.586,91,1230883
186,Light Light,Briana Yang,Alternative,2003,0.711,0.059,103,4975760
187,Heart Fire,Tony Walker,Hip-Hop,2011,0.711,0.619,146,2292701
188,Broken Forever,Rebekah Carter,Rock,2016,0.523,0.834,127,3124527
189,Love Broken,Ronald Spence,Hip-Hop,2005,0.602,0.386,125,2986901
190,Sky Sky,Paul Conley,R&B,2015,0.684,0.533,131,3761728
191,Fire Forever,Henry Jackson,Hip-Hop,2003,0.938,0.523,137,2266319
192,Heart Heart,Meredith Berg,Soul,2003,0.453,0.272,106,6719051
193,Sky Shadow,Kenneth Allen,Rock,2019,0.464,0.766,134,2758098
194,Forever Love,Debra Contreras,Alternative,2015,0.799,0.236,102,8045388
195,Heart Fire,Christopher Simmons,Alternative,2022,0.663,0.458,82,2099787
196,Forever Paradise,Brian Williams,R&B,2011,0.865,0.624,168,11092318
197,Heart Fire,Ashley Harris,Alternative,2007,0.666,0.496,101,3341930
198,Forever Shadow,Casey Ramos,Pop,2010,0.653,0.851,35,2405179
199,Light Night,Jonathan Russell,Electronic,2021,0.739,0.901,127,4086241
200,Paradise Love,James Richardson,Rock,2011,0.604,0.743,166,1360562
201,Paradise Paradise,Steven Martin,Soul,2000,0.549,0.474,144,3320957
202,Night Broken,Kevin Roman,Electronic,2012,0.788,0.78,127,3862745
203,Broken Forever,Johnathan Salazar,Alternative,2017,0.642,0.261,67,6039185
204,Shadow Heart,Mitchell Gibson,Electronic,2019,0.826,0.657,141,2600468
205,Love Lonely,Cheryl Lopez,Soul,2006,0.496,0.443,100,4835489
206,Sky Forever,William Bryan,R&B,2006,1,0.584,157,3223179
207,Fire Paradise,Bobby Henderson,Pop,2018,0.82,0.81,96,2269451
208,Lonely Heart,Ashley Moore,Alternative,2017,0.633,0.355,134,7749873
209,Paradise Heart,Billy Bowers,Pop,2022,0.517,0.703,95,2335987
210,Lonely Paradise,Michael James,Rock,2003,0.677,0.782,146,5166575
211,Dream Heart,Randy Fields,Pop,2016,0.811,0.873,76,4123944
212,Dream Dream,Andrea Lin,Pop,2001,0.632,0.819,52,1522580
213,Light Heart,Jacob Mitchell,Alternative,2018,0.511,0.408,124,2901468
214,Sky Fire,Deanna Chase,Electronic,2020,0.796,0.945,104,1936326
215,Light Forever,Stephanie Gardner,Alternative,2002,0.278,0.467,109,5005958
216,Paradise Paradise,Kevin Martinez PhD,Hip-Hop,2022,0.819,0.522,83,4439186
217,Forever Dream,Stacy Jones,Alternative,2010,0.643,0.294,103,4576643
218,Shadow Forever,Carrie Brown,Electronic,2019,0.747,0.902,133,2377016
219,Love Sky,Jacob Wilson,Rock,2013,0.633,0.998,135,5361448
220,Love Love,Andrew Johnson,Alternative,2016,0.961,0.463,113,2131237
221,Night Night,Caroline Dunn,Alternative,2015,0.474,0.239,140,2190215
222,Lonely Shadow,Jose Hansen,Electronic,2018,0.754,0.884,118,2452004
223,Light Dream,Cindy Quinn,R&B,2011,0.38,0.541,73,5094098
224,Heart Forever,Dawn Garcia,R&B,2021,0.347,0.529,109,1994035
225,Love Fire,Michael Spears,R&B,2012,0.684,0.398,95,3808106
226,Lonely Sky,Angel Malone,Pop,2008,0.699,0.605,115,4076157
227,Sky Night,Sean Smith,Hip-Hop,2010,0.855,0.737,167,9286567
228,Shadow Heart,Douglas Butler,Pop,2008,0.706,0.512,101,3740557
229,Heart Broken,Amy Jackson,Alternative,2006,0.78,0.743,101,1647383
230,Fire Heart,Stephen Ray,Rock,2006,0.688,0.747,155,2229975
231,Lonely Shadow,Angela Mitchell,Soul,2000,0.461,0.351,106,4035991
232,Paradise Fire,Lee Walker,Pop,2006,0.712,0.782,141,4129183
233,Broken Heart,Darrell Gomez,Soul,2014,0.294,0.5,73,4269529
234,Light Dream,Ariel Miller,Alternative,2010,0.451,0.468,104,1415553
235,Sky Shadow,Ashley Walker,Electronic,2004,0.746,0.68,128,10961085
236,Shadow Lonely,Michael Vasquez,Rock,2006,0.42,0.742,116,1268764
237,Forever Forever,Michael Grimes,Rock,2009,0.432,0.734,91,6637498
238,Dream Sky,Victor Harper,Soul,2023,0.43,0.135,110,4983918
239,Night Lonely,Kaitlyn Patel,Electronic,2005,0.631,1,119,3104728
240,Forever Paradise,Patty Smith,Electronic,2005,0.945,0.949,144,1856196
241,Forever Heart,Christine Thompson,Alternative,2007,0.559,0.675,116,4790872
242,Heart Dream,Alison Welch,Hip-Hop,2009,0.687,0.825,154,2028142
243,Paradise Fire,Brandon Scott,Hip-Hop,2007,0.71,0.588,154,4995766
244,Light Night,Charles Moore,Pop,2002,0.89,0.505,140,1763305
245,Dream Fire,Meredith Gonzalez,Hip-Hop,2017,0.793,0.432,129,5846756
246,Shadow Fire,Latasha Meza,R&B,2022,0.731,0.652,96,2147597
247,Broken Love,David Beck,Electronic,2023,0.753,0.83,116,3731182
248,Love Night,Cassandra Peterson,Soul,2005,0.548,0.32,95,3312535
249,Lonely Light,Johnny Deleon,Pop,2013,0.52,0.644,122,2629115
250,Paradise Dream,Eddie Barton,Soul,2011,0.58,0.408,120,3931365
251,Broken Night,Joshua Gordon,Rock,2022,0.555,0.814,141,3723052
252,Fire Dream,Paula Martin,Alternative,2015,0.586,0.614,122,7523084
253,Shadow Fire,Vanessa Gomez,Electronic,2017,0.864,0.804,118,3375001
254,Dream Paradise,Thomas Brady,Alternative,2001,0.473,0.401,115,1660664
255,Broken Sky,Melinda Morales,R&B,2013,0.642,0.244,85,2825987
256,Broken Fire,Douglas Long,Rock,2001,0.569,0.891,150,6720627
257,Broken Shadow,Sara Martin,R&B,2011,0.431,0.403,120,3765804
258,Love Sky,Lisa Kennedy,Pop,2005,0.837,0.64,73,2617294
259,Forever Paradise,Thomas Jimenez,Soul,2012,0.363,0.25,96,3544351
260,Broken Fire,Melvin Lewis,Electronic,2020,0.724,0.744,124,2461513
261,Sky Dream,Antonio Jennings,Hip-Hop,2004,0.845,0.526,122,3468290
262,Dream Lonely,Mariah Johnson,Pop,2011,0.598,0.694,97,2204474
263,Fire Sky,Sarah Diaz,Alternative,2010,0.922,0.467,123,4656538
264,Night Paradise,John Holmes,Hip-Hop,2009,0.754,0.377,121,9714708
265,Forever Light,Michael Figueroa,Hip-Hop,2017,0.833,0.499,179,8281973
266,Broken Sky,Nathan Ingram,Soul,2003,0.506,0.389,85,2229098
267,Broken Shadow,James Johnson,Hip-Hop,2018,0.778,0.407,136,2610430
268,Light Love,Michelle Franklin,Rock,2018,0.517,0.965,130,6312114
269,Lonely Light,James Patton,Pop,2012,0.56,0.606,92,6638290
270,Shadow Light,Benjamin Davis,Electronic,2018,0.708,1,121,1663027
271,Lonely Fire,Melanie Green,Soul,2016,0.396,0.337,98,3418948
272,Night Paradise,Brooke Williams,Hip-Hop,2008,0.804,0.316,147,2038705
273,Forever Paradise,Maria Rodriguez,Soul,2012,0.192,0.341,57,3625951
274,Forever Love,Mary Perez,Soul,2020,0.409,0.308,99,4549883
275,Shadow Sky,Tammy Hernandez,Hip-Hop,2011,0.548,0.632,157,1545967
276,Heart Sky,Melissa Moore,Soul,2015,0.337,0.419,98,15508086
277,Forever Love,Mr. Marcus Johnson,Hip-Hop,2004,0.781,0.81,126,1808954
278,Dream Dream,Anthony Phillips,R&B,2013,0.133,0.561,140,1779086
279,Broken Love,Rebecca Valdez,Rock,2011,0.47,0.805,157,2900338
280,Paradise Sky,Breanna Washington,Alternative,2007,0.761,0.611,104,2972824
281,Shadow Heart,Julie Pope,Hip-Hop,2001,0.791,0.678,152,1891030
282,Light Heart,Stephanie Alexander PhD,Soul,2000,0.57,0.564,93,5792733
283,Fire Lonely,Russell Sanders,Soul,2023,0.615,0.236,88,2838377
284,Lonely Shadow,Kevin Oconnor,Pop,2008,0.7,1,148,1980200
285,Heart Night,Christopher Mcdowell,R&B,2005,0.805,0.491,79,6178550
286,Sky Heart,Brianna Gutierrez,Soul,2007,0.388,0.467,94,1923022
287,Paradise Broken,Anthony Carter,Electronic,2023,0.71,0.993,133,3515766
288,Paradise Broken,Rhonda Scott,Alternative,2004,0.738,0.611,101,4717588
289,Heart Light,Michelle Mendez,Pop,2017,0.816,0.493,122,2803846
290,Forever Lonely,Dr. Kimberly Lara MD,Rock,2014,0.48,0.744,157,6367015
291,Night Love,Alexandria Davis,Hip-Hop,2016,0.715,0.595,130,3608813
292,Paradise Dream,Casey Neal,Pop,2008,0.43,0.798,193,4765680
293,Night Paradise,Karen Simpson,Soul,2021,0.687,0.25,119,1670361
294,Shadow Shadow,Dana Thomas,Hip-Hop,2016,0.646,0.794,127,8628051
295,Forever Love,Dale Mcintyre,R&B,2000,0.935,0.569,118,2324144
296,Sky Forever,Jared Johnson,Electronic,2007,0.571,0.883,128,4260712
297,Broken Light,Thomas Mejia,Rock,2009,0.619,0.743,131,2314551
298,Night Heart,Krista Cooper,Rock,2004,0.43,0.758,132,3272248
299,Forever Night,Mark Hawkins,Hip-Hop,2021,0.593,0.473,153,2674753
300,Heart Forever,Jason Allen,Pop,2015,0.464,0.606,76,3214614
301,Paradise Light,Kyle King,Soul,2004,0.42,0.224,82,2208342
302,Night Paradise,Tina Reyes,Rock,2005,0.458,0.817,139,1821573
303,Lonely Sky,Michelle Gonzales,Rock,2001,0.652,0.747,100,3525340
304,Love Heart,David Howard,Electronic,2012,0.528,0.736,104,4455113
305,Paradise Shadow,Juan Hamilton,Pop,2002,0.422,0.523,38,2754408
306,Night Dream,Carlos George,Soul,2021,0.498,0.351,79,1462974
307,Dream Light,Kelly Jones,Hip-Hop,2008,0.645,0.743,159,6498830
308,Light Fire,Stanley Hudson,Pop,2002,0.674,0.602,96,2568440
309,Night Sky,Lisa Taylor,Pop,2007,0.578,0.8,101,3375599
310,Shadow Sky,Jeffrey Ramsey,R&B,2015,0.839,0.577,133,7221526
311,Heart Forever,Matthew Myers,Rock,2010,0.639,0.835,124,2882239
312,Shadow Love,Ronald Liu,Electronic,2001,0.83,0.707,146,3465302
313,Love Shadow,Tyler Walters,Electronic,2003,0.765,0.689,127,5985628
314,Lonely Sky,Jessica Rodriguez,Pop,2013,0.554,0.92,87,2023932
315,Paradise Night,Steve Barton,Electronic,2005,0.934,0.933,127,3513488
316,Light Dream,Anna Wilson,Alternative,2016,0.584,0.362,95,4896731
317,Forever Dream,Joshua Brown,Alternative,2016,0.554,0.404,101,3175990
318,Forever Light,Kimberly Thomas,R&B,2014,1,0.211,102,2072083
319,Lonely Fire,Barbara Graham,Electronic,2006,0.744,0.911,143,3942779
320,Heart Fire,Travis Huber,Rock,2009,0.456,0.632,91,2171635
321,Light Dream,Christina Brown,Electronic,2000,0.735,0.942,131,5221208
322,Heart Forever,Dr. Cody Shelton,Rock,2023,0.535,0.765,141,1705574
323,Paradise Light,Susan Scott,Pop,2020,0.854,0.759,123,4294919
324,Dream Night,Danielle Ortiz,Electronic,2009,0.712,0.828,132,3368899
325,Heart Paradise,Kathleen Sheppard,Soul,2001,0.283,0.247,79,3271013
326,Heart Lonely,Jeremy Cohen,Electronic,2005,0.961,0.814,127,2247542
327,Love Light,Kaitlyn Chapman,R&B,2013,1,0.584,119,2516579
328,Love Love,Shannon Wilson,Rock,2018,0.605,0.727,144,1865018
329,Dream Love,Colton Pearson,Hip-Hop,2010,0.823,0.761,162,5615308
330,Night Light,Brandon Ferguson,Alternative,2012,0.586,0.365,130,3156249
331,Lonely Light,Joy Moore,Hip-Hop,2009,0.718,0.378,143,5606108
332,Lonely Lonely,Samantha Ford,R&B,2000,0.348,0.586,85,2486105
333,Forever Shadow,Henry Austin,Alternative,2006,0.516,0.424,86,6251703
334,Dream Night,Lisa Watson,Alternative,2015,0.512,0.461,105,1304941
335,Love Love,Dakota Castro,Pop,2012,0.616,0.396,154,4833493
336,Paradise Fire,Jody Wood,R&B,2002,0.574,0.408,75,3465761
337,Shadow Heart,Erik Thompson,Alternative,2022,0.477,0.699,116,4393304
338,Fire Lonely,Ashley Reyes DVM,Pop,2005,0.706,0.808,82,1856842
339,Night Love,Shelby Dickerson,Pop,2019,0.55,0.631,62,2314541
340,Heart Dream,William Nichols,Alternative,2021,0.424,0.31,115,2477633
341,Lonely Light,Stephen Santana,Alternative,2005,0.478,0.637,78,5964991
342,Lonely Heart,Shawn Kelly,Pop,2006,0.661,0.826,41,6652174
343,Light Dream,Maria Johnson,Hip-Hop,2009,0.624,0.648,149,2325772
344,Fire Night,Joanna Wilson,Rock,2010,0.448,0.767,166,3936833
345,Forever Night,Jose Jackson,Hip-Hop,2005,0.67,0.441,135,2092090
346,Fire Dream,Amy Martin,Electronic,2011,0.72,0.899,135,2942854
347,Light Sky,Danielle Graves,Hip-Hop,2009,0.797,0.373,187,2354244
348,Shadow Sky,Taylor Kaufman,Hip-Hop,2015,0.84,0.925,129,1423061
349,Sky Dream,Nicholas Lambert DDS,Rock,2015,0.343,0.734,139,4964841
350,Broken Night,Victor Jenkins,Electronic,2005,0.79,0.842,129,3278286
351,Dream Light,Rachel Freeman,Pop,2016,0.631,0.707,123,2594215
352,Sky Shadow,Jenna Robertson,Rock,2003,0.571,0.798,108,3286071
353,Lonely Broken,Michelle Stewart,Pop,2000,0.523,0.551,129,4472511
